Id,label,Count,Fname,Mname,Lname
1317,Giulio Busi,2,Giulio,,Busi
3187,Heribert Busse,1,Heribert,,Busse
506,Sagit Butbul,2,Sagit,,Butbul
385,Judith Butler,2,Judith,,Butler
1600,Herbert Butterfield,2,Herbert,,Butterfield
3067,David Buyaner,1,David,,Buyaner
383,Carol Walker Bynum,1,Carol,Walker,Bynum
383,Caroline Bynum,2,Caroline,,Bynum
383,Caroline Walker Bynum,2,Caroline,Walker,Bynum
1442,Jose Ignacio Cabezon,2,Jose,Ignacio,Cabezon
1711,Isidore Cahan,2,Isidore,,Cahan
3174,Yehuda-Leib Cahan,1,Yehuda-Leib,,Cahan
3343,Abraham Cahen,1,Abraham,,Cahen
544,Claude Cahen,2,Claude,,Cahen
2543,Isidore Cahen,1,Isidore,,Cahen
2283,Alina Cala,1,Alina,,Cala
1787,Norman Calder,2,Norman,,Calder
577,Craig Calhoun,2,Craig,,Calhoun
2644,Albert Camus,1,Albert,,Camus
1581,Eddie Cantor,2,Eddie,,Cantor
1172,Geoffrey Cantor,2,Geoffrey,,Cantor
1034,Kimmy Caplan,2,Kimmy,,Caplan
1532,Giuseppe Cappelletti,2,Giuseppe,,Cappelletti
2876,Eliayahu Capsali,1,Eliayahu,,Capsali
2774,Antonio Cardoner-y-Planas,1,Antonio,,Cardoner
2998,Sorcha Carey,1,Sorcha,,Carey
131,Elisheva Carlebach,2,Elisheva,,Carlebach
1979,Shalom Carmy,2,Shalom,,Carmy
3089,Jecheskiel Caro,1,Jecheskiel,,Caro
1849,Marjorie Carpenter,2,Marjorie,,Carpenter
2437,Daniel Carpi,1,Daniel,,Carpi
951,David Carrier,2,David,,Carrier
1013,Atlas Carta,2,Atlas,,Carta
2560,Tehilla leDavid Casablanca,1,Tehilla,leDavid,Casablanca
3517,Jose Maria Casciaro,1,Jose,Maria,Casciaro
812,Michael Casey,2,Michael,,Casey
3471,Ibn Caspi,1,Ibn,,Caspi
234,Flora Cassen,1,Flora,,Cassen
3380,Ernst Cassirer,1,Ernst,,Cassirer
2190,Alfonso Cassuto,1,Alfonso,,Cassuto
3278,Umberto Cassuto,1,Umberto,,Cassuto
2664,David Castelli,1,David,,Castelli
1308,Americo Castro,2,Americo,,Castro
878,Moshe Catane,2,Moshe,,Catane
3329,Adelino Cattani,1,Adelino,,Cattani
742,Jean Ceard,2,Jean,,Ceard
2471,David Cesarani,1,David,,Cesarani
1901,Michael Chabon,2,Michael,,Chabon
3024,John Chadwick,1,John,,Chadwick
1871,Felix Chami,2,Felix,,Chami
1574,Simon Moses Chanes,2,Simon,Moses,Chanes
3379,Honora Howell Chapman,1,Honora,Howell,Chapman
1527,Roger Chartier,2,Roger,,Chartier
3134,Seymour Chatman,1,Seymour,,Chatman
2565,Kirti Narayan Chaudhuri,1,Kirti,Narayan,Chaudhuri
1501,Una Chaudhuri,2,Una,,Chaudhuri
262,Robert Chazan,3,Robert,,Chazan
1670,Joseph Chetrit,2,Joseph,,Chetrit
2530,Jamsheed Choksy,1,Jamsheed,,Choksy
2751,Jean-Marc Chouraqui,1,Jean-Marc,,Chouraqui
3013,Arthur Christensen,1,Arthur,,Christensen
1176,Rikke Lyngso Christensen,2,Rikke,Lyngso,Christensen
1809,Dio Chrysostom,2,Dio,,Chrysostom
2059,John Chrysostom,2,John,,Chrysostom
3469,Andrzej Ciechanowiecki,1,Andrzej,,Ciechanowiecki
2308,Carlo Cipolla,1,Carlo,,Cipolla
1236,Atay Citron,2,Atay,,Citron
468,Stuart Clark,2,Stuart,,Clark
2780,Inis Claude,1,Inis,,Claude
2365,Otto Clemen,1,Otto,,Clemen
886,Ronald Clements,2,Ronald,,Clements
3367,Eric Cochrane,1,Eric,,Cochrane
1802,Amnon Cohen,2,Amnon,,Cohen
71,Aryeh Cohen,1,Aryeh,,Cohen
463,Avinoam Cohen,2,Avinoam,,Cohen
